state,zip_code,type,count,retailer
AL,35094,Pfizer-BioNtech,438,walgreens
AL,35235,Pfizer-BioNtech,428,walgreens
AL,35215,Pfizer-BioNtech,932,walgreens
AL,35125,Moderna,425,walgreens
AL,35126,Pfizer-BioNtech,441,walgreens
AL,35210,Pfizer-BioNtech,424,walgreens
AL,35242,Pfizer-BioNtech,1370,walgreens
AL,35243,Pfizer-BioNtech,431,walgreens
AL,35214,Moderna,522,walgreens
AL,35208,Moderna,248,walgreens
AL,35211,Pfizer-BioNtech,519,walgreens
AL,35228,Moderna,435,walgreens
AL,35071,Pfizer-BioNtech,520,walgreens
AL,35068,Pfizer-BioNtech,446,walgreens
AL,35023,Moderna,477,walgreens
AL,35148,Moderna,485,walgreens
AL,35209,Pfizer-BioNtech,855,walgreens
AL,35205,Pfizer-BioNtech,397,walgreens
AL,35020,Moderna,488,walgreens
AL,35226,Pfizer-BioNtech,421,walgreens
AL,35244,Pfizer-BioNtech,493,walgreens
AL,35244,Moderna,580,walgreens
AL,35007,Moderna,396,walgreens
AL,35007,Pfizer-BioNtech,443,walgreens
AL,35124,Pfizer-BioNtech,847,walgreens
AL,35080,Pfizer-BioNtech,437,walgreens
AL,35216,Pfizer-BioNtech,886,walgreens
AL,35010,Moderna,425,walgreens
AL,35160,Pfizer-BioNtech,361,walgreens
AL,35150,Pfizer-BioNtech,453,walgreens
AL,35043,Pfizer-BioNtech,430,walgreens
AL,36203,Pfizer-BioNtech,345,walgreens
AL,35976,Pfizer-BioNtech,412,walgreens
AL,35950,Pfizer-BioNtech,450,walgreens
AL,35803,Pfizer-BioNtech,407,walgreens
AL,35957,Pfizer-BioNtech,412,walgreens
AL,35055,Pfizer-BioNtech,1038,walgreens
AL,35763,Pfizer-BioNtech,510,walgreens
AL,35802,Pfizer-BioNtech,773,walgreens
AL,35640,Pfizer-BioNtech,437,walgreens
AL,35401,Pfizer-BioNtech,820,walgreens
AL,35405,Pfizer-BioNtech,981,walgreens
AL,35476,Moderna,628,walgreens
AL,35406,Moderna,271,walgreens
AL,35404,Pfizer-BioNtech,511,walgreens
AL,35601,Pfizer-BioNtech,344,walgreens
AL,35601,Moderna,435,walgreens
AL,35611,Moderna,422,walgreens
AL,35756,Pfizer-BioNtech,378,walgreens
AL,35758,Pfizer-BioNtech,1397,walgreens
AL,35806,Pfizer-BioNtech,364,walgreens
AL,35816,Moderna,396,walgreens
AL,35630,Moderna,376,walgreens
AL,35630,Pfizer-BioNtech,915,walgreens
AL,35661,Pfizer-BioNtech,565,walgreens
AL,35805,Pfizer-BioNtech,429,walgreens
AL,35810,Moderna,437,walgreens
AL,35801,Pfizer-BioNtech,404,walgreens
AL,35811,Pfizer-BioNtech,375,walgreens
